dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Ranger,600.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Everest,1.022.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Jazz,456.000.000,Honda,Tự động,Hatchback,36000,2018,Xăng,5,Đã sử dụng,
Sonata,280.000.000,Hyundai,Số sàn,Sedan,100000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Captiva,368.000.000,Chevrolet,Tự động,SUV / Cross over,44130,2011,Xăng,7,Đã sử dụng,Việt Nam
Range Rover Evoque,950.000.000,LandRover,Bán tự động,SUV / Cross over,89000,2011,Xăng,5,Đã sử dụng,Nước khác
Carens,267.000.000,Kia,Số sàn,Minivan (MPV),12345,2007,Dầu,7,Đã sử dụng,Hàn Quốc
HR-V,786.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Laser,175.000.000,Ford,Tự động,Sedan,130,2004,Xăng,5,Đã sử dụng,Mỹ
Zace,199.000.000,Toyota,Số sàn,SUV / Cross over,22,2004,Xăng,8,Đã sử dụng,Việt Nam
SRX,465.000.000,Cadillac,Tự động,SUV / Cross over,88888,2005,Xăng,5,Đã sử dụng,Mỹ
Elantra,399.000.000,Hyundai,Số sàn,Sedan,50000,2017,Xăng,5,Đã sử dụng,
Vios,345.000.000,Toyota,Số sàn,Sedan,61551,2017,Xăng,5,Đã sử dụng,Việt Nam
458,11.000.000.000,Ferrari,Bán tự động,Kiểu dáng khác,,2009,Xăng,2,Đã sử dụng,Nước khác
Rio,369.000.000,Kia,Tự động,Sedan,66686,2015,Xăng,5,Đã sử dụng,Hàn Quốc
GLC,2.099.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Vios,478.000.000,Toyota,Tự động,Sedan,,2021,Xăng,5,Đã sử dụng,Việt Nam
CR V,1.118.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Everest,1.025.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Xpander,555.000.000,Mitsubishi,Tự động,SUV / Cross over,,2019,Xăng,7,Đã sử dụng,Nước khác
Camry,388.000.000,Toyota,Tự động,Sedan,12,2008,Xăng,5,Đã sử dụng,
Xpander,535.000.000,Mitsubishi,Tự động,Minivan (MPV),30000,2019,Xăng,5,Đã sử dụng,Ấn Độ
Innova,378.000.000,Toyota,Số sàn,Minivan (MPV),100,2015,Xăng,8,Đã sử dụng,
F PACE,2.479.000.000,Jaguar,Tự động,SUV / Cross over,8700,2019,Xăng,7,Đã sử dụng,Nước khác
Ranger,650.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Innova,595.000.000,Toyota,Số sàn,Minivan (MPV),30000,2019,Xăng,8,Đã sử dụng,Việt Nam
K3,559.000.000,Kia,Tự động,Sedan,,2021,,5,Mới,Việt Nam
Dòng khác,95.000.000,BMW,Số sàn,Sedan,8888,1994,,4,Đã sử dụng,Đức
3,460.000.000,Mazda,Tự động,Sedan,45000,2015,Xăng,5,Đã sử dụng,Việt Nam
Ranger,870.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Morning,230.000.000,Kia,Số sàn,Hatchback,36000,2018,Xăng,5,Đã sử dụng,Việt Nam
Vios,388.000.000,Toyota,Số sàn,Sedan,50000,2019,Xăng,5,Đã sử dụng,Việt Nam
Innova,365.000.000,Toyota,Số sàn,Minivan (MPV),79000,2015,Xăng,8,Đã sử dụng,Việt Nam
Tourneo,1.035.000.000,Ford,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Việt Nam
Almera,510.000.000,Nissan,Tự động,Sedan,,2021,Xăng,5,Mới,Thái Lan
Cruze,309.000.000,Chevrolet,Số sàn,Sedan,80,2015,Xăng,5,Đã sử dụng,Việt Nam
Lanos,58.000.000,Daewoo,Số sàn,Sedan,230,2003,Xăng,5,Đã sử dụng,Hàn Quốc
Tucson,770.000.000,Hyundai,Tự động,SUV / Cross over,50115,2018,Xăng,5,Đã sử dụng,Việt Nam
Ranger,698.000.000,Ford,Tự động,Pick-up (bán tải),70000,2016,Dầu,5,Đã sử dụng,Thái Lan
Vios,254.000.000,Toyota,Số sàn,Sedan,78000,2015,Xăng,5,Đã sử dụng,Việt Nam
Rondo,486.000.000,Kia,Tự động,Minivan (MPV),65000,2016,Dầu,7,Đã sử dụng,Việt Nam
C Class,1.620.000.000,Mercedes Benz,Tự động,Sedan,32000,2019,Xăng,5,Đã sử dụng,Việt Nam
Range Rover,9.350.000.000,LandRover,Tự động,,9000,2020,Xăng,,Đã sử dụng,
Ertiga,368.000.000,Suzuki,Tự động,SUV / Cross over,43000,2017,Xăng,7,Đã sử dụng,
Grand i10,315.000.000,Hyundai,Số sàn,Hatchback,80000,2019,Xăng,5,Đã sử dụng,Ấn Độ
CR V,929.000.000,Honda,Tự động,SUV / Cross over,86000,2020,Xăng,5,Đã sử dụng,Thái Lan
Cerato,540.000.000,Kia,Tự động,Sedan,34000,2018,Xăng,5,Đã sử dụng,
i20,415.000.000,Hyundai,Tự động,SUV / Cross over,80000,2015,Xăng,5,Đã sử dụng,
Grand i10,225.000.000,Hyundai,Số sàn,Hatchback,64000,2016,Xăng,5,Đã sử dụng,Ấn Độ
Hilux,175.000.000,Toyota,Số sàn,Pick-up (bán tải),27000,1999,Xăng,2,Đã sử dụng,Nhật Bản
Morning,195.000.000,Kia,Tự động,Hatchback,96500,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Spark,85.000.000,Chevrolet,Số sàn,Hatchback,10222,2010,Xăng,5,Đã sử dụng,
CR V,1.123.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
E Class,1.435.000.000,Mercedes Benz,Tự động,Sedan,30000,2016,Xăng,5,Đã sử dụng,Việt Nam
Transit,420.000.000,Ford,Số sàn,Minivan (MPV),180000,2018,Dầu,16,Đã sử dụng,
Santa Fe,1.338.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Ranger,515.000.000,Ford,Tự động,Pick-up (bán tải),85000,2015,Dầu,5,Đã sử dụng,Thái Lan
3,755.000.000,Mazda,Tự động,Sedan,4000,2021,,5,Đã sử dụng,Việt Nam
Corolla Cross,720.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Xpander,630.000.000,Mitsubishi,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nhật Bản
Ranger,630.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Corolla Altis,220.000.000,Toyota,Số sàn,Sedan,100000,2004,Xăng,5,Đã sử dụng,Việt Nam
Focus,298.000.000,Ford,Tự động,Hatchback,66000,2013,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,625.000.000,Toyota,Số sàn,SUV / Cross over,999,2015,Dầu,7,Đã sử dụng,
Paso,68.000.000,Mekong,Số sàn,SUV / Cross over,10000,1995,Dầu,7,Đã sử dụng,Việt Nam
Cerato,295.000.000,Kia,Tự động,Sedan,102000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Lacetti,180.000.000,Chevrolet,Số sàn,Sedan,5500,2011,Xăng,5,Đã sử dụng,Việt Nam
Crown,62.000.000,Toyota,Số sàn,Sedan,5000,1992,Xăng,4,Đã sử dụng,Nhật Bản
Cerato,435.000.000,Kia,Số sàn,Sedan,36000,2018,Xăng,5,Đã sử dụng,Việt Nam
Morning,175.000.000,Kia,Tự động,Hatchback,13,2008,Xăng,5,Đã sử dụng,Hàn Quốc
626,118.000.000,Mazda,Số sàn,Sedan,238989,2001,Xăng,5,Đã sử dụng,Việt Nam
Captiva,265.000.000,Chevrolet,Số sàn,SUV / Cross over,112222,2011,Xăng,7,Đã sử dụng,Việt Nam
Citivan,78.000.000,Daihatsu,Số sàn,Sedan,60,2005,Xăng,7,Đã sử dụng,Nhật Bản
Accent,426.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Đã sử dụng,Việt Nam
Vios,409.000.000,Toyota,Tự động,Sedan,135000,2018,Xăng,5,Đã sử dụng,Nước khác
Almera,469.000.000,Nissan,Tự động,Sedan,,2021,,5,Mới,Thái Lan
Xpander,559.000.000,Mitsubishi,Tự động,,20000,2019,,7,Đã sử dụng,Nước khác
Veracruz,469.000.000,Hyundai,Tự động,SUV / Cross over,90000,2007,Xăng,8,Đã sử dụng,Việt Nam
C Class,539.000.000,Mercedes Benz,Tự động,Sedan,100000,2011,Xăng,5,Đã sử dụng,Việt Nam
Attrage,330.000.000,Mitsubishi,Số sàn,Sedan,36000,2019,Xăng,5,Đã sử dụng,Thái Lan
Grand i10,250.000.000,Hyundai,Số sàn,Sedan,10000,2018,Xăng,5,Đã sử dụng,
XL 7,550.000.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Morning,178.000.000,Kia,Số sàn,Hatchback,80000,2013,Xăng,5,Đã sử dụng,Việt Nam
Avanza,415.000.000,Toyota,Tự động,SUV / Cross over,56000,2019,Xăng,7,Đã sử dụng,Nước khác
STS,469.000.000,Cadillac,Tự động,Sedan,900000,2010,Xăng,5,Đã sử dụng,Mỹ
Civic,275.000.000,Honda,Tự động,Sedan,123456,2007,Xăng,5,Đã sử dụng,Việt Nam
Ranger,235.000.000,Ford,Số sàn,Pick-up (bán tải),152489,2008,Dầu,5,Đã sử dụng,Thái Lan
Zace,148.000.000,Toyota,Số sàn,Minivan (MPV),160000,2005,Xăng,8,Đã sử dụng,
