	count	mean	std	min	25%	50%	75%	max
dong_xe_Corolla	41601.0	0.013316987572414125	0.11462967011760615	0.0	0.0	0.0	0.0	1.0
dong_xe_CorollaAltis	41601.0	0.004639311555010697	0.06795512745800514	0.0	0.0	0.0	0.0	1.0
dong_xe_CorollaCross	41601.0	0.0006490228600274032	0.02546796459750731	0.0	0.0	0.0	0.0	1.0
dong_xe_Corona	41601.0	0.0007932501622557151	0.028153862431702162	0.0	0.0	0.0	0.0	1.0
dong_xe_Corvette	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
dong_xe_County	41601.0	0.0024518641378813008	0.04945615527577862	0.0	0.0	0.0	0.0	1.0
dong_xe_Coupe	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_Cressida	41601.0	0.0006249849763226846	0.02499218646676993	0.0	0.0	0.0	0.0	1.0
dong_xe_Creta	41601.0	0.00024037883704718636	0.015502478253825265	0.0	0.0	0.0	0.0	1.0
dong_xe_Crown	41601.0	0.0004567197903896541	0.021366379460488423	0.0	0.0	0.0	0.0	1.0
dong_xe_Cruze	41601.0	0.008220956227013774	0.09029711014339867	0.0	0.0	0.0	0.0	1.0
dong_xe_CuLong	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Cullinan	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
dong_xe_Cultiswagon	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_D65PX	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_DB1021	41601.0	0.00036056825557077957	0.018985439433544075	0.0	0.0	0.0	0.0	1.0
dong_xe_DBX30	41601.0	0.0001923030696377491	0.01386617145964042	0.0	0.0	0.0	0.0	1.0
dong_xe_Daily	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Damas	41601.0	0.00012018941852359318	0.010962566389707074	0.0	0.0	0.0	0.0	1.0
dong_xe_Dcar	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_DcarLimousine	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Defender	41601.0	0.0003365303718660609	0.018341897560635673	0.0	0.0	0.0	0.0	1.0
dong_xe_Discovery	41601.0	0.0006730607437321219	0.025934993761759194	0.0	0.0	0.0	0.0	1.0
dong_xe_Dmax	41601.0	0.0015624624408067114	0.03949757780467354	0.0	0.0	0.0	0.0	1.0
dong_xe_Doblo	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_Duster	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_EL	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_EON	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_EPace	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_ES	41601.0	0.0014663109059878368	0.03826481457538787	0.0	0.0	0.0	0.0	1.0
dong_xe_Eclass	41601.0	0.015961154779933175	0.1253266686528769	0.0	0.0	0.0	0.0	1.0
dong_xe_EcoSport	41601.0	0.011778563015312132	0.10788933344949077	0.0	0.0	0.0	0.0	1.0
dong_xe_Edge	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Elantra	41601.0	0.010720896132304512	0.10298647226384045	0.0	0.0	0.0	0.0	1.0
dong_xe_Englon	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Equus	41601.0	9.615153481887455e-05	0.00980533532389177	0.0	0.0	0.0	0.0	1.0
dong_xe_Ertiga	41601.0	0.002355712603062426	0.0484790647135689	0.0	0.0	0.0	0.0	1.0
dong_xe_Escalade	41601.0	0.0007211365111415591	0.026844623219282368	0.0	0.0	0.0	0.0	1.0
dong_xe_Escape	41601.0	0.0037258719742313887	0.060926833848381795	0.0	0.0	0.0	0.0	1.0
dong_xe_Escort	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Espero	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Everest	41601.0	0.013533328525756592	0.11554435712097748	0.0	0.0	0.0	0.0	1.0
dong_xe_Explorer	41601.0	0.0033412658349558904	0.05770772762897139	0.0	0.0	0.0	0.0	1.0
dong_xe_Express	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_F0	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
dong_xe_F150	41601.0	0.0008413259296651522	0.02899376325196678	0.0	0.0	0.0	0.0	1.0
dong_xe_F8	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_FIT	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
dong_xe_FPACE	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
dong_xe_FPace	41601.0	0.0001923030696377491	0.01386617145964042	0.0	0.0	0.0	0.0	1.0
dong_xe_FType	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_FVR	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_FX	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
dong_xe_Fadil	41601.0	0.002596091440109613	0.050886284924099516	0.0	0.0	0.0	0.0	1.0
dong_xe_FengxingCM7	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Feroza	41601.0	9.615153481887455e-05	0.00980533532389177	0.0	0.0	0.0	0.0	1.0
dong_xe_Fiesta	41601.0	0.0033412658349558904	0.057707727628971396	0.0	0.0	0.0	0.0	1.0
dong_xe_Fjcruiser	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_FlyingSpur	41601.0	0.0009615153481887454	0.03099377239946468	0.0	0.0	0.0	0.0	1.0
dong_xe_Focus	41601.0	0.007331554529939184	0.0853110648468141	0.0	0.0	0.0	0.0	1.0
dong_xe_Forester	41601.0	0.0005769092089132473	0.024012293615712037	0.0	0.0	0.0	0.0	1.0
dong_xe_Forfour	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Forland	41601.0	0.0009855532318934642	0.03137842546328774	0.0	0.0	0.0	0.0	1.0
dong_xe_Forte	41601.0	0.004086440229802168	0.06379529031494878	0.0	0.0	0.0	0.0	1.0
dong_xe_ForthingT5	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Fortuner	41601.0	0.03437417369774765	0.18219052604111974	0.0	0.0	0.0	0.0	1.0
dong_xe_Fortwo	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Foton	41601.0	0.0006009470926179659	0.02450714982147505	0.0	0.0	0.0	0.0	1.0
dong_xe_Freelander	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_Frontier	41601.0	0.002523977788995457	0.05017636739066478	0.0	0.0	0.0	0.0	1.0
dong_xe_G20	41601.0	2.4037883704718638e-05	0.004902844450389861	0.0	0.0	0.0	0.0	1.0
dong_xe_GL5004Matic	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_GLAclass	41601.0	0.0008413259296651522	0.02899376325196678	0.0	0.0	0.0	0.0	1.0
dong_xe_GLB	41601.0	0.00024037883704718636	0.015502478253825265	0.0	0.0	0.0	0.0	1.0
dong_xe_GLCclass	41601.0	0.013341025456118843	0.11473168226426732	0.0	0.0	0.0	0.0	1.0
dong_xe_GLEclass	41601.0	0.0005528713252085286	0.02350699770992928	0.0	0.0	0.0	0.0	1.0
dong_xe_GLKclass	41601.0	0.0010095911155981827	0.031758401815785785	0.0	0.0	0.0	0.0	1.0
dong_xe_GLS400HN	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_GLSclass	41601.0	0.0014182351385783995	0.03763320065461067	0.0	0.0	0.0	0.0	1.0
dong_xe_GLclass	41601.0	0.0008653638133698709	0.029404689130371954	0.0	0.0	0.0	0.0	1.0
dong_xe_GS	41601.0	0.0003846061392754982	0.019607841777646053	0.0	0.0	0.0	0.0	1.0
dong_xe_GTO	41601.0	2.4037883704718638e-05	0.004902844450389861	0.0	0.0	0.0	0.0	1.0
dong_xe_GX	41601.0	0.0022835989519482706	0.04773299588988897	0.0	0.0	0.0	0.0	1.0
dong_xe_Galloper	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
dong_xe_Gazele	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Gclass	41601.0	0.0008653638133698709	0.029404689130371954	0.0	0.0	0.0	0.0	1.0
dong_xe_Genesis	41601.0	0.0009374774644840268	0.030604266285553173	0.0	0.0	0.0	0.0	1.0
dong_xe_Gentra	41601.0	0.0034133794860700464	0.05832503835292066	0.0	0.0	0.0	0.0	1.0
dong_xe_GentraX	41601.0	0.0003365303718660609	0.018341897560635673	0.0	0.0	0.0	0.0	1.0
dong_xe_Getz	41601.0	0.00581716785654191	0.07604911200657366	0.0	0.0	0.0	0.0	1.0
dong_xe_Ghibli	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
dong_xe_Ghost	41601.0	0.000264416720751905	0.016258940895402307	0.0	0.0	0.0	0.0	1.0
dong_xe_Gladiator	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Gold	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_GranCabrio	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_GrandWagoneer	41601.0	2.4037883704718638e-05	0.004902844450389861	0.0	0.0	0.0	0.0	1.0
dong_xe_Grandeur	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
dong_xe_Grandi10	41601.0	0.012740078363500877	0.11215200005797255	0.0	0.0	0.0	0.0	1.0
dong_xe_Grandis	41601.0	0.0011538184178264946	0.03394870873689467	0.0	0.0	0.0	0.0	1.0
dong_xe_Grandlivina	41601.0	0.0005528713252085286	0.023506997709929287	0.0	0.0	0.0	0.0	1.0
dong_xe_Grandvitara	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_Granvia	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Grunder	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_H1	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_H100	41601.0	9.615153481887455e-05	0.00980533532389177	0.0	0.0	0.0	0.0	1.0
dong_xe_HD	41601.0	0.0011538184178264946	0.033948708736894664	0.0	0.0	0.0	0.0	1.0
dong_xe_HRV	41601.0	0.0013461214874642437	0.0366652663911788	0.0	0.0	0.0	0.0	1.0
dong_xe_HS	41601.0	0.0005528713252085286	0.023506997709929284	0.0	0.0	0.0	0.0	1.0
dong_xe_Hiace	41601.0	0.003557606788298358	0.05954020017927204	0.0	0.0	0.0	0.0	1.0
dong_xe_Highlander	41601.0	0.0006249849763226846	0.02499218646676993	0.0	0.0	0.0	0.0	1.0
dong_xe_Hijet	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Hilander	41601.0	0.001322083603759525	0.036336860590082724	0.0	0.0	0.0	0.0	1.0
dong_xe_Hilux	41601.0	0.0029326218119756736	0.054074872447958264	0.0	0.0	0.0	0.0	1.0
dong_xe_Honor	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
